700 475
2 96 160
13 94 157
9 98 158
12 101 159
8 96 160
23 99 161
31 99 162
30 99 164
36 101 165
42 108 168
56 112 169
69 119 172
93 135 183
112 145 186
116 151 193
124 154 190
128 156 196
127 157 193
107 146 189
86 130 177
70 114 175
45 112 167
36 107 169
26 99 167
25 95 164
10 102 165
13 96 164
23 99 161
18 98 171
10 98 162
16 99 167
11 99 163
15 100 164
14 99 166
18 97 166
20 101 166
27 103 161
39 105 166
32 106 171
28 106 168
38 106 167
37 107 169
33 108 166
35 108 176
41 109 172
40 105 169
41 107 168
30 104 167
20 103 169
24 105 168
15 99 169
21 101 172
16 99 167
10 102 167
15 105 168
26 105 172
19 107 171
17 105 168
20 105 169
20 104 168
24 105 171
24 106 166
18 108 170
30 108 172
37 108 172
41 111 171
54 114 177
61 120 180
79 128 184
102 140 187
120 153 194
137 165 202
147 172 203
148 173 204
148 173 204
160 179 209
170 187 215
172 188 213
160 181 208
146 169 201
128 160 198
114 151 195
101 143 193
89 132 187
77 130 182
71 128 183
67 121 181
58 116 179
35 113 175
31 112 175
30 110 173
36 109 177
29 108 175
31 109 173
33 110 178
27 110 176
25 109 179
27 106 175
26 111 175
29 109 170
29 108 177
29 107 171
18 111 172
16 109 176
15 108 175
16 108 173
17 109 176
15 108 175
16 108 175
18 110 175
15 108 175
11 110 177
22 109 176
27 110 176
22 112 175
25 108 176
31 108 178
37 112 179
33 112 178
20 112 179
17 110 177
38 113 181
69 128 188
74 128 188
67 126 182
58 122 183
29 116 183
41 114 182
38 115 183
47 114 184
53 118 182
51 120 185
51 125 188
62 126 188
68 126 189
85 136 191
118 152 197
127 160 203
121 154 199
115 152 197
120 159 200
128 160 201
150 172 211
174 191 217
196 204 223
197 209 225
202 209 227
205 210 229
204 216 230
209 216 232
212 218 230
205 214 229
200 212 228
198 209 227
200 208 227
193 204 224
174 192 216
164 185 212
163 184 211
166 187 214
169 191 215
172 189 215
170 192 215
171 191 215
172 189 217
170 187 217
165 188 219
166 186 213
163 182 212
162 186 214
164 185 214
165 184 214
161 185 213
162 186 214
177 195 219
186 201 220
175 191 214
166 183 211
166 186 213
174 190 216
180 196 219
170 192 215
145 174 206
131 163 202
134 168 206
134 166 205
132 165 206
126 164 201
99 151 198
88 141 195
79 135 196
78 137 195
91 142 197
88 144 195
81 137 194
74 136 193
71 136 194
63 133 192
64 130 190
57 132 190
62 132 194
62 132 192
58 132 197
59 131 190
65 134 193
71 136 194
64 134 193
67 135 196
64 134 193
65 134 193
75 137 196
77 139 196
84 139 195
78 140 197
103 151 199
130 167 209
114 156 206
97 150 194
89 146 199
83 142 198
74 140 198
77 142 198
77 138 195
68 138 197
75 137 196
74 136 195
74 140 198
85 142 197
84 144 196
88 144 201
89 146 199
85 145 197
80 142 203
79 141 198
81 144 195
83 144 199
87 143 200
83 144 198
84 140 197
83 142 198
78 143 199
74 143 198
78 140 197
75 139 200
74 143 200
82 141 199
94 147 199
101 153 201
105 153 201
98 151 203
79 145 197
81 143 200
81 142 197
76 145 200
80 142 199
80 142 201
82 144 203
77 144 199
75 144 201
81 143 202
88 144 201
80 145 203
78 143 199
114 158 203
147 176 208
158 182 210
156 176 209
160 181 208
178 197 214
197 207 217
217 217 219
222 221 226
219 220 222
217 218 222
217 217 225
219 218 224
220 220 222
213 216 221
201 210 219
196 204 215
196 206 218
200 204 216
202 204 216
201 208 218
201 208 218
195 205 215
185 199 212
184 197 213
186 198 212
194 201 217
204 208 219
204 211 217
206 209 218
202 209 219
201 210 219
192 205 214
192 199 215
183 196 212
174 191 209
159 185 208
141 176 204
126 165 204
118 163 204
120 163 205
120 163 205
124 166 204
155 181 206
166 189 207
172 188 213
183 196 212
182 193 211
186 195 210
194 200 214
195 204 213
198 205 213
202 209 215
209 208 213
204 208 211
203 208 211
203 208 214
198 205 211
200 204 213
196 200 212
186 196 208
181 193 209
172 189 207
162 184 205
154 182 206
141 175 203
136 170 208
127 172 205
124 170 206
132 171 204
126 170 205
137 173 207
135 169 207
118 168 205
122 168 202
124 170 203
116 168 205
119 167 205
123 169 202
124 170 206
119 169 206
121 166 207
126 171 204
131 172 202
131 171 206
137 174 200
146 176 204
153 179 204
148 178 204
142 173 202
140 174 201
144 175 204
138 173 201
134 174 200
138 173 203
141 177 203
148 177 207
151 178 205
152 180 204
155 181 204
161 182 203
163 179 204
155 180 202
153 181 203
156 178 202
156 181 203
147 174 203
141 174 205
142 176 204
142 176 201
149 181 204
148 178 204
141 177 203
138 175 201
144 176 201
144 175 203
143 179 203
153 181 202
154 182 203
150 178 199
154 181 202
149 177 199
149 176 203
151 179 201
150 176 201
147 177 201
148 179 200
149 180 201
145 177 200
155 177 200
154 181 202
149 177 199
152 182 206
152 170 184
134 131 78
128 119 0
136 126 54
147 132 41
145 137 39
119 113 25
140 131 54
129 128 48
136 128 43
141 130 38
122 124 17
144 139 39
142 131 42
123 121 34
128 127 21
140 136 45
122 117 35
135 130 49
129 126 19
141 131 33
131 120 31
143 127 42
138 124 36
150 140 45
175 154 71
158 136 51
139 133 37
132 117 22
132 123 18
129 116 14
111 106 15
117 111 23
146 135 46
149 133 55
124 116 33
137 131 47
142 133 38
142 131 41
152 131 50
165 132 53
162 136 59
133 120 24
132 125 35
148 142 58
139 125 18
129 120 27
137 126 37
126 121 21
113 115 18
110 110 14
110 112 11
110 113 24
105 100 9
113 110 5
102 103 9
109 107 22
117 111 27
123 114 23
129 124 24
124 115 22
129 117 15
129 123 35
118 113 29
113 105 7
120 115 13
118 115 12
114 112 12
121 114 33
112 108 17
150 135 52
138 126 40
127 116 37
119 107 35
139 126 47
120 119 11
148 142 56
139 132 44
127 122 20
