ad_id,at_least_one
0,0.043
1,0.013
2,0.0878
3,0.2295
4,0.3963
5,0.0187
6,0.3839
7,0.3198
8,0.0062
9,0.0082
10,0.1622
11,0.2953
12,0.0176
13,0.2825
14,0.046
15,0.0235
16,0.2308
17,0.0042
18,0.0086
19,0.0867
20,0.0232
21,0.5087
22,0.0245
23,0.0164
24,0.0144
25,0.519
26,0.1646
27,0.1798
28,0.0171
29,0.1311
30,0.014
31,0.038
32,0.0653
33,0.034
34,0.2261
35,0.0828
36,0.1513
37,0.0543
38,0.0013
39,0.0546
40,0.067
41,0.0432
42,0.003
43,0.0551
44,0.0137
45,0.0798
46,0.0001
47,0.4238
48,0.3234
49,0.5538
50,0.0235
51,0.04
52,0.024
53,0.1064
54,0.0025
55,0.029
56,0.0008
57,0.095
58,0.0259
59,0.0014
60,0.2294
61,0.0001
62,0.08
63,0.4069
64,0.0392
65,0.0185
66,0.0001
67,0.0446
68,0.0268
69,0.0982
70,0.4944
71,0.1174
72,0.1735
73,0.3465
74,0.0001
75,0.043
76,0.1079
77,0.0139
78,0.0177
79,0.0519
80,0.0152
81,0.0692
82,0.0233
83,0.0001
84,0.0449
85,0.1521
86,0.0148
87,0.0188
88,0.0012
89,0.0824
90,0.0579
91,0.0801
92,0.0849
93,0.1158
94,0.0156
95,0.2267
96,0.0931
97,0.0242
98,0.0418
99,0.0347
100,0.0123
101,0.0851
102,0.0365
103,0.4809
104,0.0596
105,0.1605
106,0.0609
107,0.0296
108,0.2818
109,0.0248
110,0.0301
111,0.0069
112,0.3886
113,0.0425
114,0.027
115,0.468
116,0.0944
117,0.2088
118,0.0381
119,0.1275
120,0.006
121,0.4958
122,0.0664
123,0.0901
124,0.1062
125,0.1159
126,0.0393
127,0.0016
128,0.2708
129,0.0434
130,0.0644
131,0.0001
132,0.0353
133,0.1054
134,0.0011
135,0.0463
136,0.3007
137,0.0104
138,0.4602
139,0.0816
140,0.0321
141,0.3229
142,0.0339
143,0.0662
144,0.0193
145,0.0687
146,0.0286
147,0.25
148,0.0022
149,0.0362
150,0.0184
151,0.153
152,0.0007
153,0.0011
154,0.0083
155,0.0001
156,0.0449
157,0.0307
158,0.0741
159,0.2211
160,0.1235
161,0.2616
162,0.0115
163,0.1645
164,0.3965
165,0.1449
166,0.0055
167,0.057
168,0.0268
169,0.0093
170,0.0293
171,0.0779
172,0.154
173,0.0633
174,0.0067
175,0.2009
176,0.0302
177,0.0004
178,0.0047
179,0.0143
180,0.0109
181,0.3242
182,0.4013
183,0.002
184,0.371
185,0.3507
186,0.0795
187,0.1687
188,0.076
189,0.0208
190,0.0049
191,0.0458
192,0.0347
193,0.0008
194,0.0269
195,0.0052
196,0.4433
197,0.5034
198,0.0803
199,0.396
200,0.0018
201,0.0498
202,0.0145
203,0.0165
204,0.2688
205,0.0349
206,0.5303
207,0.0241
208,0.0132
209,0.2528
210,0.2639
211,0.0123
212,0.1058
213,0.0015
214,0.0675
215,0.0211
216,0.0095
217,0.3011
218,0.0128
219,0.3332
220,0.0007
221,0.0028
222,0.0152
223,0.2323
224,0.375
225,0.0008
226,0.85
227,0.6235
228,0.1519
229,0.0589
230,0.0402
231,0.2695
232,0.1833
233,0.0163
234,0.0057
235,0.0028
236,0.0724
237,0.5602
238,0.3237
239,0.307
240,0.3111
241,0.0618
242,0.0015
243,0.02
244,0.1052
245,0.0669
246,0.1159
247,0.0017
248,0.0715
249,0.0013
250,0.0245
251,0.2446
252,0.4398
253,0.0169
254,0.1624
255,0.078
256,0.0332
257,0.0819
258,0.0705
259,0.0004
260,0.0219
261,0.0094
262,0.1055
263,0.0301
264,0.2975
265,0.05
266,0.0218
267,0.016
268,0.3755
269,0.2574
270,0.0188
271,0.0158
272,0.1667
273,0.3364
274,0.0333
275,0.0361
276,0.0085
277,0.0029
278,0.0298
279,0.1567
280,0.2216
281,0.0491
282,0.0517
283,0.0332
284,0.034
285,0.051
286,0.2017
287,0.0182
288,0.1389
289,0.016
290,0.2211
291,0.3158
292,0.1582
293,0.3953
294,0.3108
295,0.25
296,0.0001
297,0.0146
298,0.0562
299,0.0024
300,0.1875
301,0.0627
302,0.058
303,0.0417
304,0.0198
305,0.0593
306,0.0349
307,0.0276
308,0.2338
309,0.0116
310,0.5658
311,0.1472
312,0.0052
313,0.0792
314,0.1753
315,0.2114
316,0.0285
317,0.0781
318,0.2662
319,0.0345
320,0.0955
321,0.0267
322,0.1675
323,0.0532
